"date","county","state","fips","cases","deaths","new_cases","week_sum"
2020-03-09,"Norfolk","Massachusetts","25021",10,0,3,9
2020-03-09,"Suffolk","Massachusetts","25025",10,0,1,9
2020-03-10,"Norfolk","Massachusetts","25021",22,0,12,21
2020-03-10,"Suffolk","Massachusetts","25025",20,0,10,19
2020-03-11,"Middlesex","Massachusetts","25017",41,0,0,41
2020-03-11,"Norfolk","Massachusetts","25021",22,0,0,21
2020-03-11,"Suffolk","Massachusetts","25025",20,0,0,19
2020-03-12,"Middlesex","Massachusetts","25017",49,0,8,48
2020-03-12,"Norfolk","Massachusetts","25021",24,0,2,23
2020-03-12,"Suffolk","Massachusetts","25025",22,0,2,21
2020-03-13,"Middlesex","Massachusetts","25017",60,0,11,59
2020-03-13,"Norfolk","Massachusetts","25021",24,0,0,21
2020-03-13,"Suffolk","Massachusetts","25025",26,0,4,22
2020-03-14,"Middlesex","Massachusetts","25017",65,0,5,60
2020-03-14,"Norfolk","Massachusetts","25021",28,0,4,25
2020-03-14,"Suffolk","Massachusetts","25025",27,0,1,23
2020-03-15,"Middlesex","Massachusetts","25017",75,0,10,65
2020-03-15,"Norfolk","Massachusetts","25021",31,0,3,24
2020-03-15,"Suffolk","Massachusetts","25025",31,0,4,22
2020-03-16,"Berkshire","Massachusetts","25003",11,0,2,6
2020-03-16,"Middlesex","Massachusetts","25017",83,0,8,68
2020-03-16,"Norfolk","Massachusetts","25021",36,0,5,26
2020-03-16,"Suffolk","Massachusetts","25025",42,0,11,32
2020-03-17,"Berkshire","Massachusetts","25003",14,0,3,7
2020-03-17,"Middlesex","Massachusetts","25017",89,0,6,48
2020-03-17,"Norfolk","Massachusetts","25021",43,0,7,21
2020-03-17,"Suffolk","Massachusetts","25025",42,0,0,22
2020-03-18,"Berkshire","Massachusetts","25003",17,0,3,8
2020-03-18,"Essex","Massachusetts","25009",14,0,6,13
2020-03-18,"Middlesex","Massachusetts","25017",100,0,11,59
2020-03-18,"Norfolk","Massachusetts","25021",45,0,2,23
2020-03-18,"Suffolk","Massachusetts","25025",51,0,9,31
2020-03-18,"Worcester","Massachusetts","25027",10,0,2,8
2020-03-19,"Berkshire","Massachusetts","25003",18,0,1,9
2020-03-19,"Essex","Massachusetts","25009",19,0,5,17
2020-03-19,"Middlesex","Massachusetts","25017",119,0,19,70
2020-03-19,"Norfolk","Massachusetts","25021",52,0,7,28
2020-03-19,"Suffolk","Massachusetts","25025",72,0,21,50
2020-03-19,"Worcester","Massachusetts","25027",14,0,4,12
2020-03-20,"Berkshire","Massachusetts","25003",20,0,2,11
2020-03-20,"Essex","Massachusetts","25009",29,0,10,27
2020-03-20,"Middlesex","Massachusetts","25017",144,0,25,84
2020-03-20,"Norfolk","Massachusetts","25021",64,0,12,40
2020-03-20,"Suffolk","Massachusetts","25025",87,1,15,61
2020-03-20,"Worcester","Massachusetts","25027",19,0,5,17
2020-03-21,"Barnstable","Massachusetts","25001",11,0,2,10
2020-03-21,"Berkshire","Massachusetts","25003",21,0,1,12
